13:45:37.931 recv:<= 10 7b 01 7c 16 
13:45:37.931 send:<= 10 09 01 0a 16 
13:45:38.088 recv:<= 10 5b 01 5c 16 
13:45:38.088 send:<= 10 09 01 0a 16 
13:45:38.245 recv:<= 10 7b 01 7c 16 
13:45:38.245 send:<= 10 09 01 0a 16 
13:45:38.402 recv:<= 10 5b 01 5c 16 
13:45:38.402 send:<= 10 09 01 0a 16 
13:45:38.559 recv:<= 10 7b 01 7c 16 
13:45:38.559 send:<= 10 09 01 0a 16 
13:45:38.715 recv:<= 10 5b 01 5c 16 
13:45:38.716 send:<= 10 09 01 0a 16 
13:45:38.873 recv:<= 10 7b 01 7c 16 
13:45:38.873 send:<= 10 09 01 0a 16 
13:45:39.028 recv:<= 10 5b 01 5c 16 
13:45:39.028 send:<= 10 09 01 0a 16 
13:45:39.185 recv:<= 10 7b 01 7c 16 
13:45:39.185 send:<= 10 09 01 0a 16 
13:45:39.341 recv:<= 10 5b 01 5c 16 
13:45:39.341 send:<= 10 09 01 0a 16 
13:45:39.498 recv:<= 10 7b 01 7c 16 
13:45:39.498 send:<= 10 09 01 0a 16 
13:45:39.655 recv:<= 10 5b 01 5c 16 
13:45:39.655 send:<= 10 09 01 0a 16 
13:45:39.813 recv:<= 10 7b 01 7c 16 
13:45:39.813 send:<= 10 09 01 0a 16 
13:45:39.968 recv:<= 10 5b 01 5c 16 
13:45:39.968 send:<= 10 09 01 0a 16 
13:45:40.125 recv:<= 10 7b 01 7c 16 
13:45:40.126 send:<= 10 09 01 0a 16 
13:45:40.283 recv:<= 10 5b 01 5c 16 
13:45:40.283 send:<= 10 09 01 0a 16 
13:45:40.439 recv:<= 10 7b 01 7c 16 
13:45:40.439 send:<= 10 09 01 0a 16 
13:45:40.596 recv:<= 10 5b 01 5c 16 
13:45:40.596 send:<= 10 09 01 0a 16 
13:45:40.754 recv:<= 10 7b 01 7c 16 
13:45:40.754 send:<= 10 09 01 0a 16 
13:45:40.911 recv:<= 10 5b 01 5c 16 
13:45:40.911 send:<= 10 09 01 0a 16 
13:45:41.068 recv:<= 10 7b 01 7c 16 
13:45:41.068 send:<= 10 09 01 0a 16 
13:45:41.224 recv:<= 10 5b 01 5c 16 
13:45:41.224 send:<= 10 09 01 0a 16 
13:45:41.380 recv:<= 10 7b 01 7c 16 
13:45:41.380 send:<= 10 09 01 0a 16 
13:45:41.536 recv:<= 10 5b 01 5c 16 
13:45:41.536 send:<= 10 09 01 0a 16 
13:45:41.692 recv:<= 10 7b 01 7c 16 
13:45:41.692 send:<= 10 09 01 0a 16 
13:45:41.849 recv:<= 10 5b 01 5c 16 
13:45:41.849 send:<= 10 09 01 0a 16 
13:45:42.007 recv:<= 10 7b 01 7c 16 
13:45:42.007 send:<= 10 09 01 0a 16 
13:45:42.164 recv:<= 10 5b 01 5c 16 
13:45:42.164 send:<= 10 09 01 0a 16 
13:45:42.321 recv:<= 10 7b 01 7c 16 
13:45:42.321 send:<= 10 09 01 0a 16 
13:45:42.479 recv:<= 10 5b 01 5c 16 
13:45:42.479 send:<= 10 09 01 0a 16 
13:45:42.637 recv:<= 10 7b 01 7c 16 
13:45:42.637 send:<= 10 09 01 0a 16 
13:45:42.793 recv:<= 10 5b 01 5c 16 
13:45:42.793 send:<= 10 09 01 0a 16 
13:45:42.951 recv:<= 10 7b 01 7c 16 
13:45:42.951 send:<= 10 09 01 0a 16 
13:45:43.109 recv:<= 10 5b 01 5c 16 
13:45:43.109 send:<= 10 09 01 0a 16 
13:45:43.366 recv:<= 68 0a 0a 68 73 01 64 01 06 01 00 00 00 14 f4 16 
13:45:43.367 send:<= 10 20 01 21 16 
13:45:43.524 recv:<= 10 5a 01 5b 16 
13:45:43.525 send:<= 68 0a 0a 68 28 01 64 01 07 01 00 00 00 14 aa 16 
13:45:43.782 recv:<= 10 7a 01 7b 16 
13:45:43.782 send:<= 68 0b 0b 68 28 01 01 82 14 01 00 01 00 01 00 c3 16 
13:45:44.049 recv:<= 10 5a 01 5b 16 
13:45:44.049 send:<= 68 29 29 68 28 01 15 90 14 01 00 01 40 00 00 39 2b 78 2c 55 2c 47 4c 1a 4c 38 4c 75 00 93 00 8a 00 be 8f 62 90 30 90 60 90 60 83 ff ff 8c 16 
13:45:44.592 recv:<= 10 7a 01 7b 16 
13:45:44.592 send:<= 68 0a 0a 68 08 01 64 01 0a 01 00 00 00 14 8d 16 
13:45:44.850 recv:<= 10 5b 01 5c 16 
13:45:44.850 send:<= 10 09 01 0a 16 
13:45:45.008 recv:<= 10 7b 01 7c 16 
13:45:45.008 send:<= 10 09 01 0a 16 
13:45:45.165 recv:<= 10 5b 01 5c 16 
13:45:45.165 send:<= 10 09 01 0a 16 
13:45:45.322 recv:<= 10 7b 01 7c 16 
13:45:45.322 send:<= 10 09 01 0a 16 
13:45:45.480 recv:<= 10 5b 01 5c 16 
13:45:45.480 send:<= 10 09 01 0a 16 
13:45:45.637 recv:<= 10 7b 01 7c 16 
13:45:45.637 send:<= 10 09 01 0a 16 
13:45:45.794 recv:<= 10 5b 01 5c 16 
13:45:45.794 send:<= 10 09 01 0a 16 
13:45:45.950 recv:<= 10 7b 01 7c 16 
13:45:45.950 send:<= 10 09 01 0a 16 
13:45:46.107 recv:<= 10 5b 01 5c 16 
13:45:46.107 send:<= 10 09 01 0a 16 
13:45:46.263 recv:<= 10 7b 01 7c 16 
13:45:46.263 send:<= 10 09 01 0a 16 
13:45:46.421 recv:<= 10 5b 01 5c 16 
13:45:46.421 send:<= 10 09 01 0a 16 
13:45:46.578 recv:<= 10 7b 01 7c 16 
13:45:46.578 send:<= 10 09 01 0a 16 
13:45:46.735 recv:<= 10 5b 01 5c 16 
13:45:46.735 send:<= 10 09 01 0a 16 
13:45:46.893 recv:<= 10 7b 01 7c 16 
13:45:46.893 send:<= 10 09 01 0a 16 
13:45:47.048 recv:<= 10 5b 01 5c 16 
13:45:47.048 send:<= 10 09 01 0a 16 
13:45:47.205 recv:<= 10 7b 01 7c 16 
13:45:47.206 send:<= 10 09 01 0a 16 
13:45:47.363 recv:<= 10 5b 01 5c 16 
13:45:47.363 send:<= 10 09 01 0a 16 
13:45:47.518 recv:<= 10 7b 01 7c 16 
13:45:47.518 send:<= 10 09 01 0a 16 
13:45:47.675 recv:<= 10 5b 01 5c 16 
13:45:47.675 send:<= 10 09 01 0a 16 
13:45:47.833 recv:<= 10 7b 01 7c 16 
13:45:47.833 send:<= 10 09 01 0a 16 
